"Plot Title: PPCAST2021"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20133753, SEN S/N: 20133753)","RH, % (LGR S/N: 20133753, SEN S/N: 20133753)","Coupler Detached (LGR S/N: 20133753)","Bad Battery (LGR S/N: 20133753)","Good Battery (LGR S/N: 20133753)","Coupler Attached (LGR S/N: 20133753)","Host Connected (LGR S/N: 20133753)","Stopped (LGR S/N: 20133753)","End Of File (LGR S/N: 20133753)"
32,07/29/21 01:00:00,23.593,38.628,,,,,,,
33,07/29/21 02:00:00,22.321,38.856,,,,,,,
34,07/29/21 03:00:00,21.175,39.681,,,,,,,
35,07/29/21 04:00:00,20.126,40.346,,,,,,,
36,07/29/21 05:00:00,19.270,40.931,,,,,,,
37,07/29/21 06:00:00,18.533,41.331,,,,,,,
38,07/29/21 07:00:00,18.200,45.186,,,,,,,
39,07/29/21 08:00:00,18.533,53.184,,,,,,,
40,07/29/21 09:00:00,21.318,63.112,,,,,,,
41,07/29/21 10:00:00,24.050,47.822,,,,,,,
42,07/29/21 11:00:00,26.598,51.155,,,,,,,
43,07/29/21 12:00:00,30.243,27.716,,,,,,,
44,07/29/21 13:00:00,30.798,27.171,,,,,,,
45,07/29/21 14:00:00,31.357,29.215,,,,,,,
46,07/29/21 15:00:00,30.849,31.471,,,,,,,
47,07/29/21 16:00:00,30.672,33.092,,,,,,,
48,07/29/21 17:00:00,29.765,33.215,,,,,,,
49,07/29/21 18:00:00,29.015,31.656,,,,,,,
50,07/29/21 19:00:00,27.505,32.743,,,,,,,
51,07/29/21 20:00:00,24.968,35.958,,,,,,,
52,07/29/21 21:00:00,18.937,52.032,,,,,,,
53,07/29/21 22:00:00,15.915,62.389,,,,,,,
54,07/29/21 23:00:00,15.700,61.193,,,,,,,
55,07/30/21 00:00:00,14.864,65.130,,,,,,,
56,07/30/21 01:00:00,14.697,66.590,,,,,,,
57,07/30/21 02:00:00,14.745,74.659,,,,,,,
58,07/30/21 03:00:00,15.127,73.971,,,,,,,
59,07/30/21 04:00:00,15.748,65.167,,,,,,,
60,07/30/21 05:00:00,15.223,71.368,,,,,,,
61,07/30/21 06:00:00,14.361,69.654,,,,,,,
62,07/30/21 07:00:00,17.201,64.505,,,,,,,
63,07/30/21 08:00:00,24.050,49.353,,,,,,,
64,07/30/21 09:00:00,27.456,38.232,,,,,,,
65,07/30/21 10:00:00,30.545,28.497,,,,,,,
66,07/30/21 11:00:00,32.665,27.207,,,,,,,
67,07/30/21 12:00:00,33.053,25.878,,,,,,,
68,07/30/21 13:00:00,33.417,24.014,,,,,,,
69,07/30/21 14:00:00,33.521,23.494,,,,,,,
70,07/30/21 15:00:00,31.893,23.806,,,,,,,
71,07/30/21 16:00:00,30.596,28.501,,,,,,,
72,07/30/21 17:00:00,31.179,34.022,,,,,,,
73,07/30/21 18:00:00,28.518,40.929,,,,,,,
74,07/30/21 19:00:00,25.744,49.702,,,,,,,
75,07/30/21 20:00:00,25.817,45.659,,,,,,,
76,07/30/21 21:00:00,21.270,61.319,,,,,,,
77,07/30/21 22:00:00,19.318,66.443,,,,,,,
78,07/30/21 23:00:00,18.866,67.131,,,,,,,
79,07/31/21 00:00:00,19.460,65.549,,,,,,,
80,07/31/21 01:00:00,20.174,64.121,,,,,,,
81,07/31/21 02:00:00,19.698,68.753,,,,,,,
82,07/31/21 03:00:00,20.960,60.510,,,,,,,
83,07/31/21 04:00:00,22.896,50.597,,,,,,,
84,07/31/21 05:00:00,23.136,43.369,,,,,,,
85,07/31/21 06:00:00,26.280,34.414,,,,,,,
86,07/31/21 07:00:00,23.930,43.655,,,,,,,
87,07/31/21 08:00:00,22.753,50.040,,,,,,,
88,07/31/21 09:00:00,22.872,57.220,,,,,,,
89,07/31/21 10:00:00,23.665,44.788,,,,,,,
90,07/31/21 11:00:00,25.987,39.009,,,,,,,
91,07/31/21 12:00:00,24.363,49.171,,,,,,,
92,07/31/21 13:00:00,24.581,52.972,,,,,,,
93,07/31/21 14:00:00,26.378,39.512,,,,,,,
94,07/31/21 15:00:00,27.063,35.292,,,,,,,
95,07/31/21 16:00:00,26.793,37.268,,,,,,,
96,07/31/21 17:00:00,26.769,42.907,,,,,,,
97,07/31/21 18:00:00,24.388,49.174,,,,,,,
98,07/31/21 19:00:00,22.705,63.403,,,,,,,
99,07/31/21 20:00:00,21.557,63.694,,,,,,,
100,07/31/21 21:00:00,20.507,59.891,,,,,,,
101,07/31/21 22:00:00,19.103,68.028,,,,,,,
102,07/31/21 23:00:00,18.747,79.657,,,,,,,
103,08/01/21 00:00:00,18.176,80.095,,,,,,,
104,08/01/21 01:00:00,20.079,69.733,,,,,,,
105,08/01/21 02:00:00,20.746,66.636,,,,,,,
106,08/01/21 03:00:00,19.532,74.592,,,,,,,
107,08/01/21 04:00:00,18.842,77.788,,,,,,,
108,08/01/21 05:00:00,18.366,78.986,,,,,,,
109,08/01/21 06:00:00,18.343,80.857,,,,,,,
110,08/01/21 07:00:00,18.723,84.104,,,,,,,
111,08/01/21 08:00:00,20.031,81.196,,,,,,,
112,08/01/21 09:00:00,22.298,72.844,,,,,,,
113,08/01/21 10:00:00,22.561,71.577,,,,,,,
114,08/01/21 11:00:00,22.968,72.564,,,,,,,
115,08/01/21 12:00:00,25.501,63.565,,,,,,,
116,08/01/21 13:00:00,26.965,57.962,,,,,,,
117,08/01/21 14:00:00,28.593,50.395,,,,,,,
118,08/01/21 15:00:00,27.751,50.862,,,,,,,
119,08/01/21 16:00:00,27.530,50.928,,,,,,,
120,08/01/21 17:00:00,26.329,54.952,,,,,,,
121,08/01/21 18:00:00,25.065,57.861,,,,,,,
122,08/01/21 19:00:00,22.848,63.276,,,,,,,
123,08/01/21 20:00:00,20.269,70.296,,,,,,,
124,08/01/21 21:00:00,16.320,82.077,,,,,,,
125,08/01/21 22:00:00,13.954,92.423,,,,,,,
126,08/01/21 23:00:00,12.775,95.113,,,,,,,
127,08/02/21 00:00:00,12.485,96.007,,,,,,,
128,08/02/21 01:00:00,12.727,96.834,,,,,,,
129,08/02/21 02:00:00,13.257,97.104,,,,,,,
130,08/02/21 03:00:00,11.078,96.566,,,,,,,
131,08/02/21 04:00:00,12.389,91.193,,,,,,,
132,08/02/21 05:00:00,12.364,93.208,,,,,,,
133,08/02/21 06:00:00,11.759,95.100,,,,,,,
134,08/02/21 07:00:00,12.485,93.857,,,,,,,
135,08/02/21 08:00:00,19.436,80.198,,,,,,,
136,08/02/21 09:00:00,22.345,63.615,,,,,,,
137,08/02/21 10:00:00,25.939,53.225,,,,,,,
138,08/02/21 11:00:00,29.340,27.165,,,,,,,
139,08/02/21 12:00:00,30.950,22.555,,,,,,,
140,08/02/21 13:00:00,32.227,22.286,,,,,,,
141,08/02/21 14:00:00,32.587,19.556,,,,,,,
142,08/02/21 15:00:00,33.783,21.361,,,,,,,
143,08/02/21 16:00:00,30.444,41.005,,,,,,,
144,08/02/21 17:00:00,29.140,46.255,,,,,,,
145,08/02/21 18:00:00,27.407,53.588,,,,,,,
146,08/02/21 19:00:00,26.231,54.465,,,,,,,
147,08/02/21 20:00:00,23.857,62.074,,,,,,,
148,08/02/21 21:00:00,19.698,73.790,,,,,,,
149,08/02/21 22:00:00,18.224,75.332,,,,,,,
150,08/02/21 23:00:00,19.698,67.191,,,,,,,
151,08/03/21 00:00:00,22.968,52.717,,,,,,,
152,08/03/21 01:00:00,20.936,60.932,,,,,,,
153,08/03/21 02:00:00,19.912,72.385,,,,,,,
154,08/03/21 03:00:00,19.103,69.436,,,,,,,
155,08/03/21 04:00:00,16.415,78.293,,,,,,,
156,08/03/21 05:00:00,15.605,75.313,,,,,,,
157,08/03/21 06:00:00,15.199,76.749,,,,,,,
158,08/03/21 07:00:00,16.820,76.239,,,,,,,
159,08/03/21 08:00:00,21.819,64.731,,,,,,,
160,08/03/21 09:00:00,23.593,62.244,,,,,,,
161,08/03/21 10:00:00,26.695,50.849,,,,,,,
162,08/03/21 11:00:00,29.265,44.504,,,,,,,
163,08/03/21 12:00:00,29.740,44.756,,,,,,,
164,08/03/21 13:00:00,29.890,46.411,,,,,,,
165,08/03/21 14:00:00,28.916,52.906,,,,,,,
166,08/03/21 15:00:00,28.791,50.325,,,,,,,
167,08/03/21 16:00:00,25.623,55.572,,,,,,,
168,08/03/21 17:00:00,25.331,54.274,,,,,,,
169,08/03/21 18:00:00,24.388,55.174,,,,,,,
170,08/03/21 19:00:00,22.154,59.326,,,,,,,
171,08/03/21 20:00:00,19.793,64.295,,,,,,,
172,08/03/21 21:00:00,16.796,74.020,,,,,,,
173,08/03/21 22:00:00,15.175,82.508,,,,,,,
174,08/03/21 23:00:00,13.834,85.941,,,,,,,
175,08/04/21 00:00:00,12.871,89.560,,,,,,,
176,08/04/21 01:00:00,12.437,89.269,,,,,,,
177,08/04/21 02:00:00,11.419,91.052,,,,,,,
178,08/04/21 03:00:00,10.883,95.958,,,,,,,
179,08/04/21 04:00:00,10.345,95.688,,,,,,,
180,08/04/21 05:00:00,10.247,96.367,,,,,,,
181,08/04/21 06:00:00,10.173,97.100,,,,,,,
182,08/04/21 07:00:00,11.200,97.028,,,,,,,
183,08/04/21 08:00:00,19.912,74.897,,,,,,,
184,08/04/21 09:00:00,22.011,60.312,,,,,,,
185,08/04/21 10:00:00,25.890,49.817,,,,,,,
186,08/04/21 11:00:00,28.642,39.783,,,,,,,
187,08/04/21 12:00:00,29.540,37.005,,,,,,,
188,08/04/21 13:00:00,29.640,37.886,,,,,,,
189,08/04/21 14:00:00,30.041,34.392,,,,,,,
190,08/04/21 15:00:00,30.192,32.710,,,,,,,
191,08/04/21 16:00:00,29.991,35.940,,,,,,,
192,08/04/21 17:00:00,28.419,39.793,,,,,,,
193,08/04/21 18:00:00,27.505,40.259,,,,,,,
194,08/04/21 19:00:00,25.598,43.654,,,,,,,
195,08/04/21 20:00:00,23.040,49.920,,,,,,,
196,08/04/21 21:00:00,19.722,55.855,,,,,,,
197,08/04/21 22:00:00,15.605,68.673,,,,,,,
198,08/04/21 23:00:00,14.409,72.239,,,,,,,
199,08/05/21 00:00:00,12.509,81.666,,,,,,,
200,08/05/21 01:00:00,12.098,79.337,,,,,,,
201,08/05/21 02:00:00,11.686,80.831,,,,,,,
202,08/05/21 03:00:00,12.001,81.987,,,,,,,
203,08/05/21 04:00:00,10.590,85.656,,,,,,,
204,08/05/21 05:00:00,10.663,86.256,,,,,,,
205,08/05/21 06:00:00,11.953,81.813,,,,,,,
206,08/05/21 07:00:00,12.775,80.087,,,,,,,
207,08/05/21 08:00:00,16.034,71.265,,,,,,,
208,08/05/21 09:00:00,18.937,50.255,,,,,,,
209,08/05/21 10:00:00,21.366,46.656,,,,,,,
210,08/05/21 11:00:00,22.417,45.635,,,,,,,
211,08/05/21 12:00:00,21.795,55.915,,,,,,,
212,08/05/21 13:00:00,22.753,54.813,,,,,,,
213,08/05/21 14:00:00,22.848,55.636,,,,,,,
214,08/05/21 15:00:00,21.604,59.515,,,,,,,
215,08/05/21 16:00:00,20.507,59.739,,,,,,,
216,08/05/21 17:00:00,19.341,64.338,,,,,,,
217,08/05/21 18:00:00,18.723,67.812,,,,,,,
218,08/05/21 19:00:00,17.439,73.260,,,,,,,
219,08/05/21 20:00:00,16.034,83.577,,,,,,,
220,08/05/21 21:00:00,14.697,90.986,,,,,,,
221,08/05/21 22:00:00,13.834,93.587,,,,,,,
222,08/05/21 23:00:00,13.497,95.535,,,,,,,
223,08/06/21 00:00:00,13.233,97.021,,,,,,,
224,08/06/21 01:00:00,13.112,97.597,,,,,,,
225,08/06/21 02:00:00,12.751,97.903,,,,,,,
226,08/06/21 03:00:00,12.534,98.096,,,,,,,
227,08/06/21 04:00:00,12.461,98.278,,,,,,,
228,08/06/21 05:00:00,12.413,98.415,,,,,,,
229,08/06/21 06:00:00,12.485,98.486,,,,,,,
230,08/06/21 07:00:00,12.654,98.557,,,,,,,
231,08/06/21 08:00:00,13.064,98.493,,,,,,,
232,08/06/21 09:00:00,14.002,97.737,,,,,,,
233,08/06/21 10:00:00,14.768,96.590,,,,,,,
234,08/06/21 11:00:00,15.509,95.214,,,,,,,
235,08/06/21 12:00:00,15.461,94.372,,,,,,,
236,08/06/21 13:00:00,15.581,95.000,,,,,,,
237,08/06/21 14:00:00,15.819,94.230,,,,,,,
238,08/06/21 15:00:00,15.915,92.002,,,,,,,
239,08/06/21 16:00:00,16.058,87.917,,,,,,,
240,08/06/21 17:00:00,16.606,81.090,,,,,,,
241,08/06/21 18:00:00,16.153,83.330,,,,,,,
242,08/06/21 19:00:00,15.819,82.076,,,,,,,
243,08/06/21 20:00:00,14.266,92.945,,,,,,,
244,08/06/21 21:00:00,13.257,97.078,,,,,,,
245,08/06/21 22:00:00,12.847,97.803,,,,,,,
246,08/06/21 23:00:00,12.316,98.137,,,,,,,
247,08/07/21 00:00:00,10.932,97.156,,,,,,,
248,08/07/21 01:00:00,9.558,86.519,,,,,,,
249,08/07/21 02:00:00,8.717,87.938,,,,,,,
250,08/07/21 03:00:00,10.124,91.654,,,,,,,
251,08/07/21 04:00:00,11.589,86.131,,,,,,,
252,08/07/21 05:00:00,12.896,88.750,,,,,,,
253,08/07/21 06:00:00,13.137,89.599,,,,,,,
254,08/07/21 07:00:00,13.473,90.995,,,,,,,
255,08/07/21 08:00:00,14.745,91.025,,,,,,,
256,08/07/21 09:00:00,16.344,85.555,,,,,,,
257,08/07/21 10:00:00,14.745,91.314,,,,,,,
258,08/07/21 11:00:00,15.581,86.998,,,,,,,
259,08/07/21 12:00:00,15.438,91.856,,,,,,,
260,08/07/21 13:00:00,16.987,84.149,,,,,,,
261,08/07/21 14:00:00,16.463,92.246,,,,,,,
262,08/07/21 15:00:00,15.485,94.066,,,,,,,
263,08/07/21 16:00:00,14.984,95.128,,,,,,,
264,08/07/21 17:00:00,15.652,89.742,,,,,,,
265,08/07/21 18:00:00,14.840,93.821,,,,,,,
266,08/07/21 19:00:00,13.738,93.770,,,,,,,
267,08/07/21 20:00:00,12.896,96.625,,,,,,,
268,08/07/21 21:00:00,12.025,97.529,,,,,,,
269,08/07/21 22:00:00,10.883,97.243,,,,,,,
270,08/07/21 23:00:00,8.618,98.266,,,,,,,
271,08/08/21 00:00:00,7.870,98.698,,,,,,,
272,08/08/21 01:00:00,6.788,98.567,,,,,,,
273,08/08/21 02:00:00,6.661,94.352,,,,,,,
274,08/08/21 03:00:00,6.560,92.694,,,,,,,
275,08/08/21 04:00:00,6.661,89.109,,,,,,,
276,08/08/21 05:00:00,6.204,93.154,,,,,,,
277,08/08/21 06:00:00,6.433,91.372,,,,,,,
278,08/08/21 07:00:00,6.585,91.766,,,,,,,
279,08/08/21 08:00:00,6.940,92.212,,,,,,,
280,08/08/21 09:00:00,7.167,93.231,,,,,,,
281,08/08/21 10:00:00,7.895,88.048,,,,,,,
282,08/08/21 11:00:00,8.145,92.779,,,,,,,
283,08/08/21 12:00:00,10.418,83.913,,,,,,,
284,08/08/21 13:00:00,10.614,83.155,,,,,,,
285,08/08/21 14:00:00,11.200,80.043,,,,,,,
286,08/08/21 15:00:00,13.281,70.966,,,,,,,
287,08/08/21 16:00:00,13.016,73.381,,,,,,,
288,08/08/21 17:00:00,12.727,78.068,,,,,,,
289,08/08/21 18:00:00,12.437,76.760,,,,,,,
290,08/08/21 19:00:00,12.001,78.161,,,,,,,
291,08/08/21 20:00:00,11.102,83.830,,,,,,,
292,08/08/21 21:00:00,9.903,92.214,,,,,,,
293,08/08/21 22:00:00,9.558,93.910,,,,,,,
294,08/08/21 23:00:00,9.114,97.460,,,,,,,
295,08/09/21 00:00:00,8.941,97.661,,,,,,,
296,08/09/21 01:00:00,8.618,98.068,,,,,,,
297,08/09/21 02:00:00,8.469,98.422,,,,,,,
298,08/09/21 03:00:00,8.270,98.564,,,,,,,
299,08/09/21 04:00:00,7.167,98.526,,,,,,,
300,08/09/21 05:00:00,7.594,98.817,,,,,,,
301,08/09/21 06:00:00,6.839,98.655,,,,,,,
302,08/09/21 07:00:00,6.636,98.745,,,,,,,
303,08/09/21 08:00:00,8.668,98.526,,,,,,,
304,08/09/21 09:00:00,12.171,92.590,,,,,,,
305,08/09/21 10:00:00,16.606,67.196,,,,,,,
306,08/09/21 11:00:00,18.580,48.327,,,,,,,
307,08/09/21 12:00:00,21.294,46.456,,,,,,,
308,08/09/21 13:00:00,23.497,37.631,,,,,,,
309,08/09/21 14:00:00,23.256,51.087,,,,,,,
310,08/09/21 15:00:00,23.088,56.478,,,,,,,
311,08/09/21 16:00:00,22.872,57.128,,,,,,,
312,08/09/21 17:00:00,22.154,57.636,,,,,,,
313,08/09/21 18:00:00,21.175,57.795,,,,,,,
314,08/09/21 19:00:00,19.793,60.172,,,,,,,
315,08/09/21 20:00:00,16.939,68.745,,,,,,,
316,08/09/21 21:00:00,14.242,80.545,,,,,,,
317,08/09/21 22:00:00,12.147,86.981,,,,,,,
318,08/09/21 23:00:00,11.200,89.279,,,,,,,
319,08/10/21 00:00:00,11.200,90.686,,,,,,,
320,08/10/21 01:00:00,10.834,89.970,,,,,,,
321,08/10/21 02:00:00,9.854,89.570,,,,,,,
322,08/10/21 03:00:00,10.614,88.088,,,,,,,
323,08/10/21 04:00:00,11.977,85.077,,,,,,,
324,08/10/21 05:00:00,12.727,86.641,,,,,,,
325,08/10/21 06:00:00,13.425,84.851,,,,,,,
326,08/10/21 07:00:00,15.055,79.091,,,,,,,
327,08/10/21 08:00:00,19.460,66.735,,,,,,,
328,08/10/21 09:00:00,19.746,64.765,,,,,,,
329,08/10/21 10:00:00,22.106,56.549,,,,,,,
330,08/10/21 11:00:00,23.809,50.497,,,,,,,
331,08/10/21 12:00:00,23.905,48.730,,,,,,,
332,08/10/21 13:00:00,24.968,43.548,,,,,,,
333,08/10/21 14:00:00,25.453,43.181,,,,,,,
334,08/10/21 15:00:00,25.720,42.690,,,,,,,
335,08/10/21 16:00:00,25.939,43.139,,,,,,,
336,08/10/21 17:00:00,25.963,44.704,,,,,,,
337,08/10/21 18:00:00,25.380,44.959,,,,,,,
338,08/10/21 19:00:00,23.569,48.463,,,,,,,
339,08/10/21 20:00:00,21.748,54.512,,,,,,,
340,08/10/21 21:00:00,17.153,71.393,,,,,,,
341,08/10/21 22:00:00,15.700,76.488,,,,,,,
342,08/10/21 23:00:00,13.570,85.637,,,,,,,
343,08/11/21 00:00:00,13.305,88.585,,,,,,,
344,08/11/21 01:00:00,13.257,87.699,,,,,,,
345,08/11/21 02:00:00,14.122,83.307,,,,,,,
346,08/11/21 03:00:00,12.920,85.753,,,,,,,
347,08/11/21 04:00:00,12.727,86.588,,,,,,,
348,08/11/21 05:00:00,12.896,84.835,,,,,,,
349,08/11/21 06:00:00,12.171,89.414,,,,,,,
350,08/11/21 07:00:00,12.582,89.147,,,,,,,
351,08/11/21 08:00:00,19.318,73.081,,,,,,,
352,08/11/21 09:00:00,22.513,58.799,,,,,,,
353,08/11/21 10:00:00,27.382,48.114,,,,,,,
354,08/11/21 11:00:00,29.991,37.620,,,,,,,
355,08/11/21 12:00:00,31.816,34.963,,,,,,,
356,08/11/21 13:00:00,31.868,38.009,,,,,,,
357,08/11/21 14:00:00,31.893,37.810,,,,,,,
358,08/11/21 15:00:00,32.150,37.228,,,,,,,
359,08/11/21 16:00:00,32.381,36.507,,,,,,,
360,08/11/21 17:00:00,31.791,35.842,,,,,,,
361,08/11/21 18:00:00,30.849,36.359,,,,,,,
362,08/11/21 19:00:00,29.040,41.515,,,,,,,
363,08/11/21 20:00:00,25.841,50.449,,,,,,,
364,08/11/21 21:00:00,21.032,65.614,,,,,,,
365,08/11/21 22:00:00,19.294,68.092,,,,,,,
366,08/11/21 23:00:00,16.844,78.663,,,,,,,
367,08/12/21 00:00:00,15.939,74.503,,,,,,,
368,08/12/21 01:00:00,15.318,70.468,,,,,,,
369,08/12/21 02:00:00,13.570,77.637,,,,,,,
370,08/12/21 03:00:00,14.409,63.524,,,,,,,
371,08/12/21 04:00:00,13.810,65.908,,,,,,,
372,08/12/21 05:00:00,14.194,64.368,,,,,,,
373,08/12/21 06:00:00,13.690,66.410,,,,,,,
374,08/12/21 07:00:00,16.963,56.938,,,,,,,
375,08/12/21 08:00:00,27.924,36.679,,,,,,,
376,08/12/21 09:00:00,26.793,42.255,,,,,,,
377,08/12/21 10:00:00,29.315,35.067,,,,,,,
378,08/12/21 11:00:00,30.596,33.493,,,,,,,
379,08/12/21 12:00:00,31.561,30.538,,,,,,,
380,08/12/21 13:00:00,31.791,28.111,,,,,,,
381,08/12/21 14:00:00,32.820,27.323,,,,,,,
382,08/12/21 15:00:00,33.287,26.940,,,,,,,
383,08/12/21 16:00:00,33.183,28.356,,,,,,,
384,08/12/21 17:00:00,32.562,27.268,,,,,,,
385,08/12/21 18:00:00,31.255,40.892,,,,,,,
386,08/12/21 19:00:00,28.816,45.237,,,,,,,
387,08/12/21 20:00:00,24.388,60.229,,,,,,,
388,08/12/21 21:00:00,20.936,70.215,,,,,,,
389,08/12/21 22:00:00,19.222,74.702,,,,,,,
390,08/12/21 23:00:00,18.485,75.470,,,,,,,
391,08/13/21 00:00:00,18.224,69.010,,,,,,,
392,08/13/21 01:00:00,19.722,58.976,,,,,,,
393,08/13/21 02:00:00,17.938,60.749,,,,,,,
394,08/13/21 03:00:00,18.081,57.139,,,,,,,
395,08/13/21 04:00:00,19.080,47.983,,,,,,,
396,08/13/21 05:00:00,17.368,54.342,,,,,,,
397,08/13/21 06:00:00,17.510,50.872,,,,,,,
398,08/13/21 07:00:00,20.960,41.829,,,,,,,
399,08/13/21 08:00:00,24.171,43.424,,,,,,,
400,08/13/21 09:00:00,27.530,27.577,,,,,,,
401,08/13/21 10:00:00,28.766,26.433,,,,,,,
402,08/13/21 11:00:00,30.900,22.131,,,,,,,
403,08/13/21 12:00:00,31.103,23.089,,,,,,,
404,08/13/21 13:00:00,32.846,20.985,,,,,,,
405,08/13/21 14:00:00,32.768,22.812,,,,,,,
406,08/13/21 15:00:00,33.391,29.550,,,,,,,
407,08/13/21 16:00:00,32.150,37.768,,,,,,,
408,08/13/21 17:00:00,30.192,42.899,,,,,,,
409,08/13/21 18:00:00,28.444,46.040,,,,,,,
410,08/13/21 19:00:00,26.793,47.975,,,,,,,
411,08/13/21 20:00:00,23.761,54.239,,,,,,,
412,08/13/21 21:00:00,20.126,62.371,,,,,,,
413,08/13/21 22:00:00,18.675,73.733,,,,,,,
414,08/13/21 23:00:00,17.034,81.073,,,,,,,
415,08/14/21 00:00:00,15.676,82.016,,,,,,,
416,08/14/21 01:00:00,16.058,82.321,,,,,,,
417,08/14/21 02:00:00,15.031,88.846,,,,,,,
418,08/14/21 03:00:00,14.745,86.907,,,,,,,
419,08/14/21 04:00:00,14.984,83.938,,,,,,,
420,08/14/21 05:00:00,14.170,83.671,,,,,,,
421,08/14/21 06:00:00,13.810,85.774,,,,,,,
422,08/14/21 07:00:00,15.461,84.917,,,,,,,
423,08/14/21 08:00:00,21.056,72.867,,,,,,,
424,08/14/21 09:00:00,22.705,67.370,,,,,,,
425,08/14/21 10:00:00,24.726,62.674,,,,,,,
426,08/14/21 11:00:00,25.841,57.917,,,,,,,
427,08/14/21 12:00:00,28.444,45.715,,,,,,,
428,08/14/21 13:00:00,29.790,36.862,,,,,,,
429,08/14/21 14:00:00,30.419,36.957,,,,,,,
430,08/14/21 15:00:00,29.414,42.085,,,,,,,
431,08/14/21 16:00:00,28.916,48.048,,,,,,,
432,08/14/21 17:00:00,26.940,53.269,,,,,,,
433,08/14/21 18:00:00,25.355,59.053,,,,,,,
434,08/14/21 19:00:00,23.208,64.697,,,,,,,
435,08/14/21 20:00:00,20.484,71.564,,,,,,,
436,08/14/21 21:00:00,16.463,86.288,,,,,,,
437,08/14/21 22:00:00,15.557,76.992,,,,,,,
438,08/14/21 23:00:00,15.963,80.756,,,,,,,
439,08/15/21 00:00:00,16.439,80.083,,,,,,,
440,08/15/21 01:00:00,15.796,81.217,,,,,,,
441,08/15/21 02:00:00,14.625,81.179,,,,,,,
442,08/15/21 03:00:00,14.721,78.631,,,,,,,
443,08/15/21 04:00:00,13.978,81.283,,,,,,,
444,08/15/21 05:00:00,13.618,83.735,,,,,,,
445,08/15/21 06:00:00,13.714,80.649,,,,,,,
446,08/15/21 07:00:00,16.701,80.834,,,,,,,
447,08/15/21 08:00:00,19.484,72.969,,,,,,,
448,08/15/21 09:00:00,23.930,46.075,,,,,,,
449,08/15/21 10:00:00,25.987,33.616,,,,,,,
450,08/15/21 11:00:00,27.974,27.405,,,,,,,
451,08/15/21 12:00:00,29.190,27.532,,,,,,,
452,08/15/21 13:00:00,30.545,25.282,,,,,,,
453,08/15/21 14:00:00,30.469,27.940,,,,,,,
454,08/15/21 15:00:00,29.365,32.569,,,,,,,
455,08/15/21 16:00:00,28.742,29.314,,,,,,,
456,08/15/21 17:00:00,26.769,33.116,,,,,,,
457,08/15/21 18:00:00,25.210,37.474,,,,,,,
458,08/15/21 19:00:00,23.472,45.570,,,,,,,
459,08/15/21 20:00:00,20.507,55.756,,,,,,,
460,08/15/21 21:00:00,18.485,55.027,,,,,,,
461,08/15/21 22:00:00,18.224,39.236,,,,,,,
462,08/15/21 23:00:00,15.414,48.665,,,,,,,
463,08/16/21 00:00:00,13.810,47.493,,,,,,,
464,08/16/21 01:00:00,13.930,51.184,,,,,,,
465,08/16/21 02:00:00,12.316,62.932,,,,,,,
466,08/16/21 03:00:00,11.856,63.117,,,,,,,
