"survey_id","site_id","site_description","zone","decimal_longitude","decimal_latitude","geodetic_datum","terrestrial","year_deployed","year_retrieved","serial","sensor_type","sensor_part","interval","height","deployment_datetime","retrieval_datetime","status","hobo"
11,"BOOTLK34","Boot Lake, funnel trap 34","blowdown",-122.113942343002,46.3286745153967,"EPSG:4326",FALSE,1997,1997,"94739","pro series","H08-001-02",15,-30,1997-07-07 16:10:00,1997-07-11 10:00:00,"clean",TRUE
12,"BOOTLK1","Boot Lake, funnel trap 1","blowdown",-122.113197254096,46.3289567348801,"EPSG:4326",FALSE,1997,1997,"94742","pro series","H08-001-02",15,-55,1997-07-07 16:45:00,1997-07-11 10:54:00,"clean",TRUE
13,"OBSCLK1","Obscurity Lake, funnel trap 1","blowdown",-122.111224585229,46.3328383615992,"EPSG:4326",FALSE,1997,1997,"94721","pro series","H08-001-02",15,-60,1997-07-07 17:40:00,1997-07-11 08:40:00,"clean",TRUE
14,"OBSCLK34","Obscurity Lake, funnel trap 34","blowdown",-122.111736068684,46.3333463288161,"EPSG:4326",FALSE,1997,1997,"94758","pro series","H08-001-02",15,-35,1997-07-07 18:35:00,1997-07-11 10:10:00,"clean",TRUE
15,"CURTLK_LIT1","Curtis Lake, littoral zone 1","blowdown",-122.065106906995,46.2798300872958,"EPSG:4326",FALSE,1998,1998,"94742","pro series","H08-001-02",24,-24,1998-05-20 14:27:00,1998-08-28 08:00:00,"clean",TRUE
16,"CURTLK_LIT3","Curtis Lake, littoral zone 3","blowdown",-122.065416551599,46.2799406183786,"EPSG:4326",FALSE,1998,1998,"94720","pro series","H08-001-02",24,-29,1998-05-20 14:30:00,1998-08-28 08:00:00,"clean",TRUE
17,"CURTLK_LIT2","Curtis Lake, littoral zone 2","blowdown",-122.065236996721,46.2798131510983,"EPSG:4326",FALSE,1998,1998,"94721","pro series","H08-001-02",24,-20,1998-05-20 14:42:00,1998-08-28 08:00:00,"clean",TRUE
18,"CURTLK_RIP1","Curtis Lake, riparian zone 1","blowdown",-122.06502949604,46.2798024543952,"EPSG:4326",TRUE,1998,1998,"94722","pro series","H08-001-02",24,100,1998-05-20 14:47:00,1998-08-28 08:00:00,"clean",TRUE
19,"CURTLK_RIP2","Curtis Lake, riparian zone 2","blowdown",-122.065276850013,46.2797594772162,"EPSG:4326",TRUE,1998,1998,"94739","pro series","H08-001-02",24,100,1998-05-20 14:53:00,1998-08-28 08:00:00,"clean",TRUE
20,"METALK_LIT1","Meta Lake, littoral zone 1","blowdown",-122.081049548101,46.2959522357411,"EPSG:4326",FALSE,1998,1998,"94758","pro series","H08-001-02",24,-25,1998-05-20 17:30:00,1998-08-28 09:30:00,"clean",TRUE
21,"METALK_RIP1","Meta Lake, riparian zone 1","blowdown",-122.081037619648,46.2958891403741,"EPSG:4326",TRUE,1998,1998,"94738","pro series","H08-001-02",24,100,1998-05-20 17:38:00,1998-08-28 09:30:00,"clean",TRUE
22,"METALK_LIT2","Meta Lake, littoral zone 2","blowdown",-122.081032049642,46.2962220929004,"EPSG:4326",FALSE,1998,1998,"94759","pro series","H08-001-02",24,-22,1998-05-20 17:47:00,1998-08-28 09:30:00,"clean",TRUE
23,"METALK_RIP2","Meta Lake, riparian zone 2","blowdown",-122.08087596098,46.2962388380428,"EPSG:4326",TRUE,1998,1998,"94723","pro series","H08-001-02",24,100,1998-05-20 17:54:00,1998-08-28 09:30:00,"clean",TRUE
24,"METALK_LIT3","Meta Lake, littoral zone 3","blowdown",-122.081077957421,46.2965824589431,"EPSG:4326",FALSE,1998,1998,"94740","pro series","H08-001-02",24,-29,1998-05-20 18:12:00,1998-08-28 09:30:00,"clean",TRUE
25,"CURTLK_LIT1","Curtis Lake, littoral zone 1","blowdown",-122.065106906995,46.2798300872958,"EPSG:4326",FALSE,1999,1999,"94723","pro series","H08-001-02",24,-27,1999-06-23 15:03:00,1999-07-06 16:41:00,"clean",TRUE
26,"CURTLK_LIT2","Curtis Lake, littoral zone 2","blowdown",-122.065236996721,46.2798131510983,"EPSG:4326",FALSE,1999,1999,"94738","pro series","H08-001-02",24,-25,1999-06-23 15:07:00,1999-07-06 16:48:00,"clean",TRUE
27,"CURTLK_LIT3","Curtis Lake, littoral zone 3","blowdown",-122.065416551599,46.2799406183786,"EPSG:4326",FALSE,1999,1999,"94739","pro series","H08-001-02",24,-24,1999-06-23 15:16:00,1999-07-06 17:14:00,"clean",TRUE
28,"CURTLK_RIP1","Curtis Lake, riparian zone 1","blowdown",-122.06502949604,46.2798024543952,"EPSG:4326",TRUE,1999,1999,"94758","pro series","H08-001-02",24,100,1999-06-23 15:20:00,1999-07-06 16:43:00,"clean",TRUE
29,"CURTLK_RIP2","Curtis Lake, riparian zone 2","blowdown",-122.065276850013,46.2797594772162,"EPSG:4326",TRUE,1999,1999,"94722","pro series","H08-001-02",24,100,1999-06-23 15:27:00,1999-07-06 16:46:00,"clean",TRUE
30,"METALK_LIT1","Meta Lake, littoral zone 1","blowdown",-122.081049548101,46.2959522357411,"EPSG:4326",FALSE,1999,1999,"94742","pro series","H08-001-02",24,-26,1999-06-23 18:26:00,1999-07-06 14:33:00,"clean",TRUE
31,"METALK_LIT2","Meta Lake, littoral zone 2","blowdown",-122.081032049642,46.2962220929004,"EPSG:4326",FALSE,1999,1999,"94740","pro series","H08-001-02",24,-32,1999-06-23 18:30:00,1999-07-06 14:43:00,"clean",TRUE
32,"METALK_LIT3","Meta Lake, littoral zone 3","blowdown",-122.081077957421,46.2965824589431,"EPSG:4326",FALSE,1999,1999,"94720","pro series","H08-001-02",24,-39,1999-06-23 18:37:00,1999-07-06 14:39:00,"clean",TRUE
33,"METALK_RIP1","Meta Lake, riparian zone 1","blowdown",-122.081037619648,46.2958891403741,"EPSG:4326",TRUE,1999,1999,"94721","pro series","H08-001-02",24,100,1999-06-23 18:44:00,1999-07-06 14:49:00,"clean",TRUE
34,"METALK_RIP2","Meta Lake, riparian zone 2","blowdown",-122.08087596098,46.2962388380428,"EPSG:4326",TRUE,1999,1999,"94759","pro series","H08-001-02",24,100,1999-06-23 18:48:00,1999-07-06 14:53:00,"clean",TRUE
35,"METALK_RIP3","Meta Lake, riparian zone 3","blowdown",-122.080948886415,46.2965364218491,"EPSG:4326",TRUE,1999,1999,"94741","pro series","H08-001-02",24,100,1999-06-23 18:51:00,1999-07-06 15:05:00,"clean",TRUE
36,"METALK_LIT1","Meta Lake, littoral zone 1","blowdown",-122.081049548101,46.2959522357411,"EPSG:4326",FALSE,2000,2000,"94722","pro series","H08-001-02",24,-39,2000-05-23 12:45:00,2000-06-11 00:00:00,"clean",TRUE
37,"METALK_LIT2","Meta Lake, littoral zone 2","blowdown",-122.081032049642,46.2962220929004,"EPSG:4326",FALSE,2000,2000,"94742","pro series","H08-001-02",24,-39,2000-05-23 12:45:00,2000-06-11 00:00:00,"clean",TRUE
38,"METALK_LIT3","Meta Lake, littoral zone 3","blowdown",-122.081077957421,46.2965824589431,"EPSG:4326",FALSE,2000,2000,"94739","pro series","H08-001-02",24,-20,2000-05-23 12:45:00,2000-06-11 00:00:00,"clean",TRUE
39,"METALK_RIP1","Meta Lake, riparian zone 1","blowdown",-122.081037619648,46.2958891403741,"EPSG:4326",TRUE,2000,2000,"94721","pro series","H08-001-02",24,85,2000-05-23 12:45:00,2000-06-11 00:00:00,"clean",TRUE
40,"METALK_RIP2","Meta Lake, riparian zone 2","blowdown",-122.08087596098,46.2962388380428,"EPSG:4326",TRUE,2000,2000,"94738","pro series","H08-001-02",24,120,2000-05-23 12:45:00,2000-06-11 00:00:00,"clean",TRUE
41,"METALK_RIP3","Meta Lake, riparian zone 3","blowdown",-122.080948886415,46.2965364218491,"EPSG:4326",TRUE,2000,2000,"94741","pro series","H08-001-02",24,85,2000-05-23 12:45:00,2000-06-11 00:00:00,"clean",TRUE
42,"CURTLK_LIT1","Curtis Lake, littoral zone 1","blowdown",-122.065106906995,46.2798300872958,"EPSG:4326",FALSE,2000,2000,"94723","pro series","H08-001-02",24,-21,2000-05-23 15:00:00,2000-06-11 00:00:00,"clean",TRUE
43,"CURTLK_LIT2","Curtis Lake, littoral zone 2","blowdown",-122.065236996721,46.2798131510983,"EPSG:4326",FALSE,2000,2000,"94759","pro series","H08-001-02",24,-21,2000-05-23 15:00:00,2000-06-11 00:00:00,"clean",TRUE
44,"CURTLK_LIT3","Curtis Lake, littoral zone 3","blowdown",-122.065416551599,46.2799406183786,"EPSG:4326",FALSE,2000,2000,"94740","pro series","H08-001-02",24,-23,2000-05-23 15:00:00,2000-06-11 00:00:00,"clean",TRUE
45,"CURTLK_RIP1","Curtis Lake, riparian zone 1","blowdown",-122.06502949604,46.2798024543952,"EPSG:4326",TRUE,2000,2000,"94758","pro series","H08-001-02",24,120,2000-05-23 15:00:00,2000-06-11 00:00:00,"clean",TRUE
46,"CURTLK_RIP2","Curtis Lake, riparian zone 2","blowdown",-122.065276850013,46.2797594772162,"EPSG:4326",TRUE,2000,2000,"94720","pro series","H08-001-02",24,80,2000-05-23 15:00:00,2000-06-11 00:00:00,"clean",TRUE
47,"CLWCRKT1_VWE","Clearwater Creek tributary, Clearwater 1 transect @115m, valley wall east","tephra fall",-121.989944311163,46.2851757199169,"EPSG:4326",TRUE,2000,2000,"94739","pro series","H08-001-02",72,17,2000-08-22 11:07:00,2000-11-15 00:00:00,"clean",TRUE
48,"CLWCRKT1_C","Clearwater Creek tributary, Clearwater 1 transect @115m, center channel","tephra fall",-121.990012184816,46.2850143203693,"EPSG:4326",TRUE,2000,2000,"94721","pro series","H08-001-02",72,16,2000-08-22 11:17:00,2000-11-15 00:00:00,"clean",TRUE
49,"CLWCRKT1_VWW","Clearwater Creek tributary, Clearwater 1 transect @116m, valley wall west","tephra fall",-121.990093368069,46.284835038439,"EPSG:4326",TRUE,2000,2000,"94741","pro series","H08-001-02",72,17,2000-08-22 11:30:00,2000-11-15 00:00:00,"clean",TRUE
50,"STRCRKE_C","Straight Creek East, Straight Creek transect @118m, center channel","tephra fall",-121.837176400122,46.2245128153684,"EPSG:4326",TRUE,2000,2000,"94723","pro series","H08-001-02",72,,2000-08-22 12:55:00,2000-11-15 00:00:00,"clean",TRUE
51,"STRCRKE_VWW","Straight Creek East, Straight Creek transect @116m, valley wall west","tephra fall",-121.837195064659,46.2242430032452,"EPSG:4326",TRUE,2000,2000,"94720","pro series","H08-001-02",24,,2000-08-22 13:00:00,2000-11-16 00:00:00,"clean",TRUE
52,"BEANCMC_VWE","Bean Creek, Bean CMC transect @4m, valley wall east","blowdown",-122.088494324617,46.2815669321946,"EPSG:4326",TRUE,2000,2000,"94742","pro series","H08-001-02",72,20,2000-08-22 13:46:00,2000-11-15 00:00:00,"clean",TRUE
53,"BEANCMC_C","Bean Creek, Bean CMC transect @2m, center channel","blowdown",-122.08867752079,46.2814783931283,"EPSG:4326",TRUE,2000,2000,"94759","pro series","H08-001-02",72,10,2000-08-22 14:04:00,2000-11-15 00:00:00,"clean",TRUE
54,"BEANCMC_VWW","Bean Creek, Bean CMC transect @7m, valley wall west","blowdown",-122.088780754722,46.2815152157621,"EPSG:4326",TRUE,2000,2000,"94722","pro series","H08-001-02",72,12,2000-08-22 14:30:00,2000-11-15 00:00:00,"clean",TRUE
55,"SPIRITL2_VWW","Spirit Lake tributary, Spirit Lake 2 transect @33m, valley wall west","blowdown",-122.14565594028,46.2434524933375,"EPSG:4326",TRUE,2000,2000,"94740","pro series","H08-001-02",72,17,2000-08-22 17:00:00,2000-11-03 00:00:00,"clean",TRUE
56,"SPIRITL2_C","Spirit Lake tributary, Spirit Lake 2 transect, center channel","blowdown",-122.14534032638,46.243729134324,"EPSG:4326",TRUE,2000,2000,"94758","pro series","H08-001-02",72,10,2000-08-22 17:11:00,2000-11-03 00:00:00,"clean",TRUE
57,"SPIRITL2_VWE","Spirit Lake tributary, Spirit Lake 2 transect @27m, valley wall east","blowdown",-122.145436147802,46.243405850587,"EPSG:4326",TRUE,2000,2000,"94738","pro series","H08-001-02",72,15,2000-08-22 17:25:00,2000-11-03 00:00:00,"clean",TRUE
58,"METALK_LIT1","Meta Lake, littoral zone 1","blowdown",-122.081049548101,46.2959522357411,"EPSG:4326",FALSE,2001,2001,"94738","pro series","H08-001-02",24,-25,2001-05-20 15:46:00,2001-05-29 23:00:00,"clean",TRUE
59,"METALK_LIT2","Meta Lake, littoral zone 2","blowdown",-122.081032049642,46.2962220929004,"EPSG:4326",FALSE,2001,2001,"94741","pro series","H08-001-02",24,-18,2001-05-20 15:49:00,2001-05-29 23:00:00,"clean",TRUE
60,"METALK_RIP1","Meta Lake, riparian zone 1","blowdown",-122.081037619648,46.2958891403741,"EPSG:4326",TRUE,2001,2001,"94720","pro series","H08-001-02",24,100,2001-05-20 15:53:00,2001-05-29 23:00:00,"clean",TRUE
61,"METALK_RIP2","Meta Lake, riparian zone 2","blowdown",-122.08087596098,46.2962388380428,"EPSG:4326",TRUE,2001,2001,"94721","pro series","H08-001-02",24,100,2001-05-20 15:55:00,2001-05-29 23:00:00,"clean",TRUE
62,"CURTLK_LIT1","Curtis Lake, littoral zone 1","blowdown",-122.065106906995,46.2798300872958,"EPSG:4326",FALSE,2001,2001,"94739","pro series","H08-001-02",24,-23,2001-05-21 16:50:00,2001-05-30 23:00:00,"clean",TRUE
63,"CURTLK_LIT2","Curtis Lake, littoral zone 2","blowdown",-122.065236996721,46.2798131510983,"EPSG:4326",FALSE,2001,2001,"94723","pro series","H08-001-02",24,-25,2001-05-21 16:54:00,2001-05-30 23:00:00,"clean",TRUE
64,"CURTLK_RIP1","Curtis Lake, riparian zone 1","blowdown",-122.06502949604,46.2798024543952,"EPSG:4326",TRUE,2001,2001,"94740","pro series","H08-001-02",24,100,2001-05-21 17:10:00,2001-05-30 23:00:00,"clean",TRUE
65,"CURTLK_RIP2","Curtis Lake, riparian zone 2","blowdown",-122.065276850013,46.2797594772162,"EPSG:4326",TRUE,2001,2001,"94758","pro series","H08-001-02",24,100,2001-05-21 17:13:00,2001-05-30 23:00:00,"clean",TRUE
66,"BEANCMC_C","Bean Creek, Bean CMC transect @74m, center channel","blowdown",-122.089122384335,46.2820489350359,"EPSG:4326",TRUE,2001,2001,"94739","pro series","H08-001-02",120,29,2001-07-11 15:06:00,2001-10-30 00:00:00,"clean",TRUE
67,"BEANCMC_VWE","Bean Creek, Bean CMC transect @71m, valley wall east","blowdown",-122.088875037894,46.2820919638517,"EPSG:4326",TRUE,2001,2001,"94759","pro series","H08-001-02",120,20,2001-07-11 15:47:00,2001-10-30 00:00:00,"clean",TRUE
68,"BEANCMC_VWET","Bean Creek, Bean CMC transect, valley wall east top","blowdown",-122.089532503137,46.2831501952947,"EPSG:4326",TRUE,2001,2001,"94723","pro series","H08-001-02",120,15,2001-07-11 16:05:00,2001-10-30 00:00:00,"clean",TRUE
69,"BEANCMC_VWW","Bean Creek, Bean CMC transect @78m, valley wall west","blowdown",-122.089317218088,46.2820414871987,"EPSG:4326",TRUE,2001,2001,"94740","pro series","H08-001-02",120,19,2001-07-11 17:20:00,2001-10-30 00:00:00,"clean",TRUE
70,"BEANCMC_VWWT","Bean Creek, Bean CMC transect, valley wall west top","blowdown",-122.090040183423,46.2830642376619,"EPSG:4326",TRUE,2001,2001,"94738","pro series","H08-001-02",120,15,2001-07-11 17:20:00,2001-10-30 00:00:00,"clean",TRUE
71,"CLWCRKT1_C","Clearwater Creek tributary, Clearwater 1 transect @174m, center channel","tephra fall",-121.99074919546,46.2851738281141,"EPSG:4326",TRUE,2001,2001,"94721","pro series","H08-001-02",120,20,2001-07-12 11:15:00,2001-11-06 11:00:00,"clean",TRUE
72,"CLWCRKT1_VWW","Clearwater Creek tributary, Clearwater 1 transect @163m, valley wall west","tephra fall",-121.99068810012,46.2849662898159,"EPSG:4326",TRUE,2001,2001,"94741","pro series","H08-001-02",120,15,2001-07-12 11:30:00,2001-11-06 11:00:00,"clean",TRUE
73,"CLWCRKT1_VWE","Clearwater Creek tributary, Clearwater 1 transect @193m, valley wall east","tephra fall",-121.990862043554,46.2853908231466,"EPSG:4326",TRUE,2001,2001,"94722","pro series","H08-001-02",120,13,2001-07-12 11:35:00,2001-11-06 11:00:00,"clean",TRUE
74,"CLWCRKT1_VWWT","Clearwater Creek tributary, Clearwater transect 1, valley wall west top","tephra fall",-121.991399814135,46.285089570221,"EPSG:4326",TRUE,2001,2001,"94742","pro series","H08-001-02",120,20,2001-07-12 12:04:00,2001-11-06 11:00:00,"clean",TRUE
75,"CLWCRKT1_VWET","Clearwater Creek tributary, Clearwater transect 1, valley wall east top","tephra fall",-121.990991341785,46.2854189642189,"EPSG:4326",TRUE,2001,2001,"94720","pro series","H08-001-02",120,23,2001-07-12 12:22:00,2001-11-06 11:00:00,"clean",TRUE
76,"M01","Maratta pond M01","debris avalanche",-122.278597226035,46.292248408206,"EPSG:4326",FALSE,2002,2002,"491581","pro series","H08-001-02",36,-37,2002-04-19 10:30:00,2002-06-07 12:00:00,"clean",FALSE
77,"M03","Maratta pond M03","debris avalanche",-122.280120364977,46.2919340115627,"EPSG:4326",FALSE,2002,2002,"491560","pro series","H08-001-02",36,-45,2002-04-19 11:00:00,2002-07-07 12:00:00,"clean",FALSE
78,"M40","Maratta pond M40","debris avalanche",-122.280647439677,46.2923333251447,"EPSG:4326",FALSE,2002,2002,"491568","pro series","H08-001-02",36,-33,2002-04-19 11:12:00,2002-08-03 12:00:00,"clean",FALSE
79,"M41","Maratta pond M41","debris avalanche",-122.281117383058,46.2921382828125,"EPSG:4326",FALSE,2002,2002,"491559","pro series","H08-001-02",36,-31,2002-04-19 11:23:00,2002-11-04 13:14:00,"clean",FALSE
80,"M20","Maratta pond M20","debris avalanche",-122.281872572794,46.2919720302577,"EPSG:4326",FALSE,2002,2002,"491562","pro series","H08-001-02",36,-37,2002-04-19 11:35:00,2002-11-01 13:15:00,"clean",FALSE
81,"M05","Maratta pond M05","debris avalanche",-122.283110084679,46.2916557994145,"EPSG:4326",FALSE,2002,2002,"491574","pro series","H08-001-02",36,-44,2002-04-19 12:00:00,2002-08-12 12:00:00,"clean",FALSE
82,"M21","Maratta pond M21","debris avalanche",-122.281984307974,46.2913697377672,"EPSG:4326",FALSE,2002,2002,"491569","pro series","H08-001-02",36,-40,2002-04-19 12:00:00,2002-11-01 12:37:00,"clean",FALSE
83,"M06","Maratta pond M06","debris avalanche",-122.282754815881,46.29102357727,"EPSG:4326",FALSE,2002,2002,"491561","pro series","H08-001-02",36,-35,2002-04-19 12:15:00,2002-09-09 12:00:00,"clean",FALSE
84,"M46","Maratta pond M46","debris avalanche",-122.283504235073,46.2912982735406,"EPSG:4326",FALSE,2002,2002,"491558","pro series","H08-001-02",36,-41,2002-04-19 12:15:00,2002-08-12 12:00:00,"clean",FALSE
85,"M26","Maratta pond M26","debris avalanche",-122.284309809297,46.2912493194936,"EPSG:4326",FALSE,2002,2002,"491582","pro series","H08-001-02",36,-35,2002-04-19 12:35:00,2002-06-09 12:00:00,"clean",FALSE
86,"M34","Maratta pond M34","debris avalanche",-122.283356575282,46.2926653349466,"EPSG:4326",FALSE,2002,2002,"491572","pro series","H08-001-02",36,-35,2002-04-19 13:00:00,2002-11-01 10:08:00,"clean",FALSE
87,"M35","Maratta pond M35","debris avalanche",-122.282899969747,46.2928334703825,"EPSG:4326",FALSE,2002,2002,"491565","pro series","H08-001-02",36,-17,2002-04-19 13:00:00,2002-11-01 09:17:00,"clean",FALSE
88,"M32","Maratta pond M32","debris avalanche",-122.28392380019,46.2929748858919,"EPSG:4326",FALSE,2002,2002,"491570","pro series","H08-001-02",36,-37,2002-04-19 13:10:00,2002-06-19 12:00:00,"clean",FALSE
89,"M07","Maratta pond M07","debris avalanche",-122.283739238009,46.2902017563222,"EPSG:4326",FALSE,2002,2002,"491576","pro series","H08-001-02",36,-35,2002-04-19 13:40:00,2002-06-29 12:00:00,"clean",FALSE
90,"H02A","Hummocks pond H02A","debris avalanche",-122.270566720562,46.2839715295086,"EPSG:4326",FALSE,2002,2002,"491583","pro series","H08-001-02",36,-45,2002-04-19 15:50:00,2002-07-02 12:00:00,"clean",FALSE
91,"H10","Hummocks pond H10","debris avalanche",-122.270244519437,46.2857514587075,"EPSG:4326",FALSE,2002,2002,"491575","pro series","H08-001-02",36,-33,2002-04-19 16:00:00,2002-10-24 15:35:00,"clean",FALSE
92,"H01","Hummocks pond H01","debris avalanche",-122.269085203475,46.2840970668406,"EPSG:4326",FALSE,2002,,,"pro series","H08-001-02",,-34,2002-04-19 16:15:00,,"lost",FALSE
93,"H16","Hummocks pond H16","debris avalanche",-122.270835241361,46.284279239845,"EPSG:4326",FALSE,2002,2002,"491566","pro series","H08-001-02",36,-30,2002-04-19 16:15:00,2002-07-05 12:00:00,"clean",FALSE
94,"H17","Hummocks pond H17","debris avalanche",-122.271133425443,46.2843081409272,"EPSG:4326",FALSE,2002,2002,"491577","pro series","H08-001-02",36,-44,2002-04-19 16:15:00,2002-06-19 12:00:00,"clean",FALSE
95,"H02B","Hummocks pond H02B","debris avalanche",-122.268828905542,46.2828714378769,"EPSG:4326",FALSE,2002,2002,"491563","pro series","H08-001-02",36,-36,2002-04-19 16:35:00,2002-10-24 10:18:00,"clean",FALSE
96,"H04","Hummocks pond H04","debris avalanche",-122.264163588463,46.2774415472224,"EPSG:4326",FALSE,2002,2002,"491571","pro series","H08-001-02",36,-55,2002-04-19 17:00:00,2002-06-09 12:00:00,"clean",FALSE
97,"H12","Hummocks pond H12","debris avalanche",-122.265404720036,46.2768375326329,"EPSG:4326",FALSE,2002,2002,"491584","pro series","H08-001-02",36,-53,2002-04-19 17:15:00,2002-06-18 12:00:00,"clean",FALSE
98,"H14","Hummocks pond H14","debris avalanche",-122.263360417139,46.2763563825493,"EPSG:4326",FALSE,2002,2002,"491557","pro series","H08-001-02",36,-55,2002-04-19 17:25:00,2002-05-11 12:00:00,"clean",FALSE
99,"H18","Hummocks pond H18","debris avalanche",-122.262919279041,46.276344539485,"EPSG:4326",FALSE,2002,2002,"491567","pro series","H08-001-02",36,-50,2002-04-19 17:30:00,2002-05-16 12:00:00,"clean",FALSE
100,"H05","Hummocks pond H05","debris avalanche",-122.267245025601,46.2780193339436,"EPSG:4326",FALSE,2002,2002,"491578","pro series","H08-001-02",36,-50,2002-04-19 17:50:00,2002-06-07 12:00:00,"clean",FALSE
101,"H07","Hummocks pond H07","debris avalanche",-122.26866864914,46.279306439978,"EPSG:4326",FALSE,2002,2002,"491573","pro series","H08-001-02",36,-41,2002-04-19 18:05:00,2002-10-22 12:00:00,"clean",FALSE
102,"H06","Hummocks pond H06","debris avalanche",-122.269176382221,46.279192687459,"EPSG:4326",FALSE,2002,,,"pro series","H08-001-02",,-40,2002-04-19 18:10:00,,"lost",FALSE
103,"H24","Hummocks pond H24","debris avalanche",-122.271532100101,46.2796937177021,"EPSG:4326",FALSE,2002,2002,"491585","pro series","H08-001-02",36,-50,2002-04-19 18:25:00,2002-05-26 12:00:00,"clean",FALSE
104,"H32","Hummocks pond H32","debris avalanche",-122.277077251819,46.2844268774426,"EPSG:4326",FALSE,2002,2002,"491564","pro series","H08-001-02",36,-35,2002-04-19 19:00:00,2002-05-17 12:00:00,"clean",FALSE
105,"H35","Hummocks pond H35","debris avalanche",-122.27870697527,46.2838881750403,"EPSG:4326",FALSE,2002,2002,,"pro series","H08-001-02",36,-60,2002-04-19 19:15:00,2002-07-06 12:00:00,"clean",FALSE
106,"METALK_LIT1","Meta Lake, littoral zone 1","blowdown",-122.081049548101,46.2959522357411,"EPSG:4326",FALSE,2002,2002,"94758","pro series","H08-001-02",30,-20,2002-06-02 12:20:00,2002-07-16 10:40:00,"clean",TRUE
107,"METALK_LIT3","Meta Lake, littoral zone 3","blowdown",-122.081077957421,46.2965824589431,"EPSG:4326",FALSE,2002,2002,"94740","pro series","H08-001-02",30,-19,2002-06-02 12:55:00,2002-07-16 10:45:00,"clean",TRUE
108,"METALK_RIP3","Meta Lake, riparian zone 3","blowdown",-122.080948886415,46.2965364218491,"EPSG:4326",TRUE,2002,2002,"94741","pro series","H08-001-02",30,120,2002-06-02 12:59:00,2002-07-16 10:50:00,"clean",TRUE
109,"METALK_LIT2","Meta Lake, littoral zone 2","blowdown",-122.081032049642,46.2962220929004,"EPSG:4326",FALSE,2002,2002,"94722","pro series","H08-001-02",30,-26,2002-06-02 13:15:00,2002-07-16 10:40:00,"clean",TRUE
110,"METALK_RIP2","Meta Lake, riparian zone 2","blowdown",-122.08087596098,46.2962388380428,"EPSG:4326",TRUE,2002,2002,"94723","pro series","H08-001-02",30,90,2002-06-02 13:18:00,2002-07-16 10:50:00,"clean",TRUE
111,"METALK_RIP1","Meta Lake, riparian zone 1","blowdown",-122.081037619648,46.2958891403741,"EPSG:4326",TRUE,2002,2002,"94739","pro series","H08-001-02",30,80,2002-06-02 13:25:00,2002-07-16 10:45:00,"clean",TRUE
